Genus,Number of sequences
Euteratosphaeria,1
Eutypa,17
Eutypella,9
Evernia,2
Exidia,6
Exobasidiales,1
Exobasidiomycetes,5
Exobasidium,27
Exophiala,49
Exserohilum,5
Falciformispora,3
Falciphora,1
Falcocladium,3
Farysia,1
Farysizyma,2
Favolaschia,4
Favolus,4
Fayodia,1
Fellhanera,1
Fellomyces,14
Fellozyma,1
Fennellomyces,1
Fevansia,1
Fibricium,1
Fibrodontia,1
Fibroporia,6
Fibulobasidium,1
Fibulomyces,1
Filobasidiales,2
Filobasidiella,1
Filobasidium,4
Filoboletus,1
Filosporella,2
Filsoniana,1
Fissuroma,1
Fistulina,1
Fistulinella,1
Flabellascus,1
Flagelloscypha,2
Flagellospora,1
Flammeopellis,1
Flammulaster,1
Flammulina,11
Flaviporus,3
Flavocetraria,5
Flavodon,2
Flavomyces,1
Flavoparmelia,13
Flavoplaca,3
Flavopunctelia,3
Flavoscypha,2
Floccularia,1
Fomes,4
Fomitella,1
Fomitiporella,2
Fomitiporia,30
Fomitopsidaceae,5
Fomitopsis,12
Fonsecaea,7
Fontanospora,1
Fragiliporia,1
Frantisekia,2
Franwilsia,2
Friedmanniomyces,4
Fulgidea,2
Fulvifomes,5
Fulvoflamma,1
Funalia,3
Fungi,795
Funneliformis,29
Fusarium,77
Fuscoboletinus,1
Fuscoderma,1
Fuscopannaria,8
Fuscoporia,17
Fusicladium,6
Fusicolla,2
Fusidium,1
Gaeumannomyces,3
Galerina,35
Galiella,1
Gallowayella,1
Gamsylella,1
Gamundia,1
Ganoderma,47
Ganodermataceae,6
Gastrosporium,1
Gautieria,14
Geastraceae,1
Geastrum,68
Geejayessia,1
Gelatinomyces,1
Geltingia,1
Geminibasidium,6
Genabea,4
Genea,38
Geniculospora,2
Geoglossaceae,4
Geoglossales,1
Geoglossum,12
Geomyces,3
Geopora,30
Geopyxis,2
Geosmithia,22
Geotrichum,4
Gerhardtia,1
Gerronema,4
Gibberella,8
Gibbosporina,3
Gibellula,1
Gibellulopsis,2
Gigasperma,3
Gigaspora,20
Gigasporaceae,1
Gilbertella,1
Gilkeya,1
Gjaerumia,1
Glaciozyma,3
Glarea,2
Gliocephalotrichum,6
Gliocladiopsis,2
Gliomastix,2
Gliophorus,9
Globomyces,1
Gloeocystidiellum,5
Gloeophyllum,9
Gloeoporus,2
Gloeosporium,1
Gloiodon,2
Gloiothele,1
Gloioxanthomyces,2
Glomeraceae,337
Glomerales,9
Glomerella,5
Glomerellaceae,6
Glomeromycetes,1
Glomeromycota,17
Glomus,44
Gloniaceae,3
Glutinoglossum,2
Glyphium,1
Gnomonia,12
Gnomoniaceae,8
Gnomoniella,1
Gnomoniopsis,9
Goffeauzyma,1
Golovinomyces,18
Gomphaceae,1
Gomphales,2
Gomphidiaceae,1
Gomphidius,6
Gomphus,4
Gondwanamyces,1
Gondwania,1
Gongronella,6
Gorgomyces,2
Gowardia,2
Grammothele,4
Grammothelopsis,1
Graphilbum,4
Graphiopsis,1
Graphium,12
Graphostroma,1
Gregorella,1
Gremmeniella,3
Grifola,2
Grosmannia,8
Guehomyces,1
Guepinia,1
Guignardia,10
Guttulispora,1
Guyanagaster,2
Gyalolechia,16
Gymnascella,2
Gymnoascaceae,8
Gymnoascus,9
Gymnomyces,12
Gymnopilus,16
Gymnopus,71
Gymnosporangium,3
Gymnostellatospora,2
Gyoerffyella,3
Gyrodon,2
Gyrodontium,1
Gyromitra,5
Gyrophanopsis,2
Gyroporus,6
Gyrothrix,1
Haasiella,1
Haematomma,1
Haloguignardia,3
Halomyces,1
Haloplaca,1
Halosphaeriaceae,8
Hamatocanthoscypha,1
Hannaella,10
Hanseniaspora,13
Hansfordia,3
Hapalopilus,1
Haploporus,1
Harknessia,9
Harmoniella,2
Harrya,1
Harzia,1
Hasegawazyma,2
Hebeloma,44
Hebelomataceae,5
Heimioporus,1
Heinemannomyces,1
Heleococcum,1
Helgardia,2
Helicascus,1
Helicobasidiaceae,4
Helicobasidium,1
Helicocentralis,1
Helicodendron,1
Helicogloea,1
Helicoma,3
Helicosporium,1
Helicostylum,2
Heliogaster,1
Helminthosporium,5
Helotiaceae,26
Helotiales,326
Helvella,26
Helvellaceae,2
Helvellosebacina,6
Hemileccinum,3
Hemileia,1
Hemimycena,3
Hemiphacidium,1
Hemipholiota,1
Henningsomyces,1
Henrica,2
Hericium,4
Hermatomyces,1
Herpotrichiellaceae,54
Hesperomyces,3
Heterobasidion,4
Heterocephalacria,1
Heterochaete,1
Heteroconium,1
Heterodermia,11
Heterophoma,1
Heteroplacidium,2
Heterospora,2
Hexagonia,1
Heyderia,1
Himantormia,1
Hirsutella,11
Hispidaedalea,1
Hispidoconidioma,1
Histoplasma,4
Hodophilus,1
Hohenbuehelia,4
Holocotylon,2
Holtermannia,1
Holtermanniella,1
Homolaphlyctis,1
Homortomyces,1
Hormonema,2
Hortaea,1
Hortiboletus,1
Houjia,1
Hubbsia,1
Huea,1
Humaria,6
Humicola,6
Humidicutis,4
Huntiella,5
Hyalopeziza,2
Hyalorbilia,2
Hyalorhinocladiella,1
Hyaloscypha,8
Hyaloscyphaceae,21
Hydnaceae,1
Hydnangiaceae,4
Hydnangium,1
Hydnellum,23
Hydnobolites,12
Hydnochaete,1
Hydnocristella,2
Hydnocystis,2
Hydnodontaceae,5
Hydnomerulius,1
Hydnophlebia,2
Hydnoplicata,1
Hydnopolyporus,1
